"year","gr","squirrel_id","sex","breed_status","age_class","log_cache_size_new","log_total_cones"
2016,"SU",13129,"M",1,"adult",0,1.70178639803856
2017,"SU",13129,"M",1,"adult",9.12473407683775,4.12577983837698
2018,"SU",13129,"M",1,"adult",7.91248525051241,1.19410634818236
2012,"SU",13132,"M",1,"yearling",6.18617439676727,4.20721253589958
2013,"SU",13132,"M",1,"adult",10.0876489834958,4.67303968645855
2014,"SU",13132,"M",1,"adult",10.0076822515386,6.90201340778595
2016,"SU",13132,"M",1,"adult",5.08925189542044,1.70178639803856
2017,"SU",13132,"M",1,"adult",0,4.12577983837698
2012,"SU",13135,"M",1,"yearling",5.92326010214397,4.20721253589958
2013,"SU",13135,"M",1,"adult",8.81416949099805,4.67303968645855
2012,"KL",13179,"M",1,"yearling",7.50220303725188,4.20721253589958
2013,"KL",13179,"M",1,"adult",9.97721812461076,4.67303968645855
2014,"KL",13179,"M",1,"adult",10.2456953965519,6.90201340778595
2016,"KL",13179,"M",1,"adult",0,1.70178639803856
2017,"AG",13238,"M",1,"adult",8.34464592538488,4.12577983837698
2012,"AG",13243,"M",1,"yearling",6.60367502429972,4.20721253589958
2013,"KL",13287,"M",1,"yearling",10.7471338527951,4.67303968645855
2013,"SU",13385,"M",1,"yearling",8.94369121431934,4.67303968645855
2014,"SU",13385,"M",1,"adult",10.5459648203236,6.90201340778595
2015,"SU",13385,"M",1,"adult",0,0.00550994838793582
2016,"SU",13385,"M",1,"adult",4.52861075007857,1.70178639803856
2017,"SU",13385,"M",1,"adult",8.89891907064009,4.12577983837698
2017,"AG",13450,"M",0,"adult",7.2505431308547,4.12577983837698
2013,"KL",13466,"M",1,"yearling",9.1452606297068,4.67303968645855
2014,"KL",13466,"M",1,"adult",11.0467948424699,6.90201340778595
2016,"KL",13466,"M",1,"adult",0,1.70178639803856
2017,"KL",13466,"M",1,"adult",8.54854326949236,4.12577983837698
2012,"SU",13690,"M",1,"adult",4.02612498603617,4.20721253589958
2013,"SU",13690,"M",1,"adult",9.77086073310142,4.67303968645855
2014,"SU",13690,"M",1,"adult",10.7842210745775,6.90201340778595
2017,"AG",19252,"M",1,"adult",6.93173029155297,4.12577983837698
2013,"KL",19271,"M",1,"yearling",9.58357983626665,4.67303968645855
2014,"KL",19271,"M",1,"adult",11.1774799604747,6.90201340778595
2014,"SU",19354,"M",1,"adult",10.4744898157619,6.90201340778595
2013,"SU",19439,"M",0,"juvenile",9.28955890612704,4.67303968645855
2017,"AG",19475,"M",1,"adult",7.28341395460731,4.12577983837698
2014,"KL",19516,"M",1,"yearling",10.7494790232072,6.90201340778595
2013,"SU",19537,"M",0,"juvenile",8.04906499370582,4.67303968645855
2014,"SU",19537,"M",1,"yearling",11.0019527209417,6.90201340778595
2015,"SU",19537,"M",1,"adult",0,0.00550994838793582
2016,"SU",19537,"M",1,"adult",0,1.70178639803856
2017,"SU",19537,"M",1,"adult",8.6134723794853,4.12577983837698
2018,"SU",19537,"M",1,"adult",4.16095784155593,1.19410634818236
2013,"SU",19552,"M",1,"yearling",8.3909684564156,4.67303968645855
2014,"KL",19599,"M",1,"yearling",10.3044768914018,6.90201340778595
2016,"KL",19599,"M",1,"adult",0,1.70178639803856
2017,"KL",19599,"M",1,"adult",8.90739043389143,4.12577983837698
2013,"SU",19601,"M",1,"yearling",9.04832832170676,4.67303968645855
2014,"SU",19601,"M",1,"adult",11.1225508780785,6.90201340778595
2015,"SU",19601,"M",1,"adult",0,0.00550994838793582
2016,"SU",19601,"M",1,"adult",0,1.70178639803856
2017,"SU",19601,"M",1,"adult",8.18841026695215,4.12577983837698
2018,"SU",19601,"M",1,"adult",0,1.19410634818236
2019,"SU",19601,"M",1,"adult",9.38866579259574,7.77371756809913
2014,"KL",19654,"M",1,"yearling",10.7781960115648,6.90201340778595
2018,"KL",19654,"M",1,"adult",0,1.19410634818236
2013,"KL",19694,"M",0,"juvenile",10.3550326436624,4.67303968645855
2015,"KL",19713,"M",1,"adult",0,0.00550994838793582
2013,"KL",19718,"M",0,"juvenile",8.71321437880703,4.67303968645855
2014,"KL",19718,"M",1,"yearling",10.6855443014306,6.90201340778595
2016,"KL",19719,"M",1,"adult",0,1.70178639803856
2013,"KL",19747,"M",1,"yearling",9.20558089652274,4.67303968645855
2014,"KL",19771,"M",1,"yearling",10.6235556200826,6.90201340778595
2013,"KL",19815,"M",0,"juvenile",9.84326016423882,4.67303968645855
2014,"KL",19815,"M",1,"yearling",10.5286534197869,6.90201340778595
2016,"KL",19815,"M",1,"adult",0,1.70178639803856
2017,"KL",19815,"M",1,"adult",7.12521136397634,4.12577983837698
2016,"SU",19832,"M",1,"adult",7.43688831449499,1.70178639803856
2017,"SU",19832,"M",1,"adult",6.73969517331125,4.12577983837698
2018,"SU",19832,"M",1,"adult",0,1.19410634818236
2014,"SU",19840,"M",1,"yearling",9.66382520682466,6.90201340778595
2013,"KL",19858,"M",0,"yearling",9.59073410060343,4.67303968645855
2013,"SU",19867,"M",0,"yearling",7.67179738750972,4.67303968645855
2013,"KL",19869,"M",0,"yearling",8.80352066689693,4.67303968645855
2013,"KL",19874,"M",0,"juvenile",6.60141037549797,4.67303968645855
2016,"KL",19874,"M",1,"adult",0,1.70178639803856
2017,"KL",19874,"M",1,"adult",5.83038092861293,4.12577983837698
2013,"SU",19875,"M",0,"yearling",9.6539550788895,4.67303968645855
2014,"SU",19875,"M",1,"adult",10.4806566179652,6.90201340778595
2016,"SU",19875,"M",1,"adult",9.0520846410283,1.70178639803856
2017,"SU",19875,"M",1,"adult",9.66500420989713,4.12577983837698
2018,"SU",19875,"M",1,"adult",0,1.19410634818236
2014,"KL",19880,"M",1,"adult",10.7843472098324,6.90201340778595
2015,"KL",19880,"M",1,"adult",0,0.00550994838793582
2016,"KL",19880,"M",1,"adult",0,1.70178639803856
2017,"KL",19880,"M",1,"adult",9.16177138713807,4.12577983837698
2018,"KL",19880,"M",1,"adult",0,1.19410634818236
2014,"KL",19881,"M",1,"yearling",10.8394239192049,6.90201340778595
2016,"KL",19881,"M",1,"adult",0,1.70178639803856
2017,"KL",19881,"M",1,"adult",8.20847841170578,4.12577983837698
2013,"KL",19882,"M",0,"yearling",8.35968304150326,4.67303968645855
2016,"KL",19882,"M",1,"adult",0,1.70178639803856
2017,"KL",19882,"M",1,"adult",9.0735633397478,4.12577983837698
2018,"KL",19882,"M",1,"adult",0,1.19410634818236
2014,"KL",19884,"M",1,"yearling",9.75502733670408,6.90201340778595
2014,"KL",19901,"M",1,"yearling",10.9656340602258,6.90201340778595
2015,"KL",19981,"M",1,"yearling",0,0.00550994838793582
2016,"KL",19981,"M",1,"adult",0,1.70178639803856
2017,"KL",19981,"M",1,"adult",8.09614869585106,4.12577983837698
2018,"KL",19981,"M",1,"adult",8.39238758121528,1.19410634818236
2017,"KL",19984,"M",1,"adult",8.04050983358894,4.12577983837698
2017,"AG",19991,"M",1,"adult",7.20050240381602,4.12577983837698
2016,"KL",20064,"M",1,"adult",0,1.70178639803856
2017,"KL",20064,"M",1,"adult",8.7551213371145,4.12577983837698
2018,"KL",20064,"M",1,"adult",6.36321502924564,1.19410634818236
2016,"KL",20077,"M",1,"adult",5.08925189542044,1.70178639803856
2017,"KL",20077,"M",1,"adult",7.868627734384,4.12577983837698
2018,"KL",20077,"M",1,"adult",0,1.19410634818236
2015,"KL",20081,"M",1,"yearling",0,0.00550994838793582
2016,"KL",20081,"M",1,"adult",0,1.70178639803856
2014,"KL",20155,"M",1,"yearling",10.8477301444245,6.90201340778595
2015,"KL",20155,"M",1,"adult",0,0.00550994838793582
2016,"KL",20155,"M",1,"adult",0,1.70178639803856
2014,"KL",20156,"M",1,"yearling",10.1902986594961,6.90201340778595
2017,"AG",20158,"M",1,"adult",8.17667869953163,4.12577983837698
2014,"KL",20180,"M",1,"yearling",9.50534372290128,6.90201340778595
2016,"KL",20180,"M",1,"adult",0,1.70178639803856
2014,"KL",20192,"M",0,"juvenile",10.785602721589,6.90201340778595
2015,"KL",20193,"M",1,"yearling",0,0.00550994838793582
2014,"KL",20198,"M",1,"yearling",10.905649239973,6.90201340778595
2015,"KL",20198,"M",1,"adult",0,0.00550994838793582
2016,"KL",20198,"M",1,"adult",0,1.70178639803856
2017,"KL",20198,"M",1,"adult",7.89897647375261,4.12577983837698
2016,"KL",20199,"M",1,"adult",0,1.70178639803856
2017,"KL",20199,"M",1,"adult",7.61602200803752,4.12577983837698
2018,"KL",20199,"M",1,"adult",0,1.19410634818236
2016,"SU",20200,"M",1,"adult",0,1.70178639803856
2017,"SU",20200,"M",1,"adult",7.86503243793519,4.12577983837698
2018,"SU",20200,"M",1,"adult",0,1.19410634818236
2016,"SU",20202,"M",1,"adult",6.52982481403273,1.70178639803856
2017,"SU",20202,"M",1,"adult",3.71092666133458,4.12577983837698
